project,burst_id,burst,num_days,num_tt_segments
pycqa~astroid,0,2015/03/27-2015/03/27,1,1
pycqa~astroid,1,2015/04/16-2015/04/16,1,1
pycqa~astroid,2,2015/06/02-2015/06/02,1,1
pycqa~astroid,3,2015/06/20-2015/06/20,1,1
pycqa~astroid,4,2015/07/03-2015/07/03,1,1
pycqa~astroid,5,2015/07/13-2015/07/13,1,1
pycqa~astroid,6,2015/07/25-2015/07/25,1,1
pycqa~astroid,7,2015/08/20-2015/08/20,1,1
pycqa~astroid,8,2015/09/24-2015/09/24,1,1
pycqa~astroid,9,2015/09/29-2015/09/29,1,1
pycqa~astroid,10,2015/10/26-2015/10/26,1,1
pycqa~astroid,11,2015/10/30-2015/10/30,1,1
pycqa~astroid,12,2015/11/03-2015/11/03,1,1
pycqa~astroid,13,2015/11/14-2015/11/14,1,1
pycqa~astroid,14,2015/12/01-2015/12/01,1,1
pycqa~astroid,15,2015/12/09-2015/12/21,13,3
pycqa~astroid,16,2016/01/14-2016/01/15,2,1
pycqa~astroid,17,2016/02/11-2016/02/13,3,2
pycqa~astroid,18,2016/02/18-2016/02/18,1,1
pycqa~astroid,19,2016/02/23-2016/02/23,1,1
pycqa~astroid,20,2016/03/31-2016/03/31,1,1
pycqa~astroid,21,2016/06/27-2016/06/27,1,1
pycqa~astroid,22,2016/07/23-2016/07/23,1,1
pycqa~astroid,23,2016/08/20-2016/08/24,5,2
pycqa~astroid,24,2016/12/29-2017/01/04,7,1
pycqa~astroid,25,2017/01/25-2017/01/30,6,2
pycqa~astroid,26,2017/02/05-2017/02/09,5,2
pycqa~astroid,27,2017/02/28-2017/03/01,2,1
pycqa~astroid,28,2017/03/08-2017/03/08,1,1
pycqa~astroid,29,2017/03/13-2017/03/13,1,1
pycqa~astroid,30,2017/04/02-2017/04/02,1,1
pycqa~astroid,31,2017/05/22-2017/05/22,1,1
pycqa~astroid,32,2017/06/03-2017/06/03,1,1
pycqa~astroid,33,2017/10/12-2017/10/12,1,1
pycqa~astroid,34,2017/11/02-2017/11/03,2,1
pycqa~astroid,35,2017/11/11-2017/11/11,1,1
pycqa~astroid,36,2017/12/11-2017/12/11,1,1
pycqa~astroid,37,2017/12/15-2017/12/15,1,1
pycqa~astroid,38,2017/12/27-2017/12/28,2,1
aio-libs~aioredis,0,2014/05/26-2014/05/26,1,1
aio-libs~aioredis,1,2014/06/17-2014/06/17,1,1
aio-libs~aioredis,2,2014/07/04-2014/07/04,1,1
aio-libs~aioredis,3,2014/07/08-2014/07/08,1,1
aio-libs~aioredis,4,2014/07/16-2014/07/18,3,1
aio-libs~aioredis,5,2014/09/26-2014/09/26,1,1
aio-libs~aioredis,6,2014/10/07-2014/10/07,1,1
aio-libs~aioredis,7,2014/11/10-2014/11/10,1,1
aio-libs~aioredis,8,2015/04/08-2015/04/08,1,1
aio-libs~aioredis,9,2015/07/07-2015/07/07,1,1
aio-libs~aioredis,10,2015/07/28-2015/07/28,1,1
aio-libs~aioredis,11,2015/08/25-2015/08/25,1,1
aio-libs~aioredis,12,2015/10/29-2015/10/29,1,1
aio-libs~aioredis,13,2016/02/10-2016/02/10,1,1
aio-libs~aioredis,14,2016/03/10-2016/03/10,1,1
aio-libs~aioredis,15,2016/04/05-2016/04/05,1,1
aio-libs~aioredis,16,2016/05/26-2016/05/26,1,1
aio-libs~aioredis,17,2016/06/02-2016/06/03,2,1
aio-libs~aioredis,18,2016/06/22-2016/06/22,1,1
aio-libs~aioredis,19,2016/08/19-2016/08/19,1,1
aio-libs~aioredis,20,2016/09/27-2016/09/27,1,1
aio-libs~aioredis,21,2016/11/14-2016/11/14,1,1
aio-libs~aioredis,22,2016/12/28-2016/12/28,1,1
aio-libs~aioredis,23,2017/01/04-2017/01/05,2,1
aio-libs~aioredis,24,2017/01/10-2017/01/10,1,1
aio-libs~aioredis,25,2017/01/17-2017/01/17,1,1
aio-libs~aioredis,26,2017/04/29-2017/04/29,1,1
aio-libs~aioredis,27,2017/05/03-2017/05/05,3,1
aio-libs~aioredis,28,2017/05/11-2017/05/11,1,1
aio-libs~aioredis,29,2017/05/15-2017/05/15,1,1
aio-libs~aioredis,30,2017/06/07-2017/06/09,3,1
aio-libs~aioredis,31,2017/06/14-2017/06/14,1,1
aio-libs~aioredis,32,2017/06/21-2017/06/21,1,1
aio-libs~aioredis,33,2017/06/30-2017/06/30,1,1
aio-libs~aioredis,34,2017/07/04-2017/07/04,1,1
aio-libs~aioredis,35,2017/07/12-2017/07/12,1,1
aio-libs~aioredis,36,2017/07/17-2017/07/17,1,1
aio-libs~aioredis,37,2017/07/25-2017/07/25,1,1
aio-libs~aioredis,38,2017/09/26-2017/09/26,1,1
aio-libs~aioredis,39,2017/10/09-2017/10/09,1,1
aio-libs~aioredis,40,2017/10/17-2017/10/17,1,1
idan~oauthlib,0,2012/01/16-2012/01/16,1,1
idan~oauthlib,1,2012/02/10-2012/02/10,1,1
idan~oauthlib,2,2012/03/13-2012/03/16,4,1
idan~oauthlib,3,2012/03/24-2012/03/24,1,1
idan~oauthlib,4,2012/03/31-2012/03/31,1,1
idan~oauthlib,5,2012/04/18-2012/04/19,2,1
idan~oauthlib,6,2012/04/24-2012/04/26,3,1
idan~oauthlib,7,2012/06/12-2012/06/12,1,1
idan~oauthlib,8,2012/11/08-2012/11/08,1,1
idan~oauthlib,9,2012/11/16-2012/11/16,1,1
idan~oauthlib,10,2013/01/15-2013/01/15,1,1
idan~oauthlib,11,2013/02/03-2013/02/06,4,1
idan~oauthlib,12,2013/02/13-2013/02/14,2,1
idan~oauthlib,13,2013/02/18-2013/02/18,1,1
idan~oauthlib,14,2013/03/26-2013/03/26,1,1
idan~oauthlib,15,2013/05/07-2013/05/07,1,1
idan~oauthlib,16,2013/05/16-2013/05/16,1,1
idan~oauthlib,17,2013/05/23-2013/05/31,9,3
idan~oauthlib,18,2013/07/03-2013/07/03,1,1
idan~oauthlib,19,2013/07/09-2013/07/09,1,1
idan~oauthlib,20,2013/07/19-2013/07/22,4,2
idan~oauthlib,21,2013/08/03-2013/08/03,1,1
idan~oauthlib,22,2013/09/17-2013/09/21,5,2
idan~oauthlib,23,2013/10/12-2013/10/12,1,1
idan~oauthlib,24,2013/11/10-2013/11/10,1,1
idan~oauthlib,25,2014/03/23-2014/03/25,3,1
idan~oauthlib,26,2014/04/18-2014/04/18,1,1
idan~oauthlib,27,2014/09/12-2014/09/12,1,1
idan~oauthlib,28,2014/09/18-2014/09/18,1,1
idan~oauthlib,29,2014/09/22-2014/09/24,3,2
idan~oauthlib,30,2014/09/29-2014/09/29,1,1
idan~oauthlib,31,2014/10/05-2014/10/05,1,1
idan~oauthlib,32,2014/10/23-2014/10/23,1,1
idan~oauthlib,33,2014/10/27-2014/10/27,1,1
idan~oauthlib,34,2015/02/27-2015/02/27,1,1
idan~oauthlib,35,2015/03/17-2015/03/17,1,1
idan~oauthlib,36,2015/04/02-2015/04/02,1,1
idan~oauthlib,37,2015/05/23-2015/05/23,1,1
idan~oauthlib,38,2015/07/01-2015/07/02,2,1
idan~oauthlib,39,2015/07/19-2015/07/19,1,1
idan~oauthlib,40,2015/08/16-2015/08/16,1,1
idan~oauthlib,41,2015/11/01-2015/11/01,1,1
idan~oauthlib,42,2016/03/14-2016/03/14,1,1
idan~oauthlib,43,2016/04/20-2016/04/21,2,1
idan~oauthlib,44,2016/04/26-2016/04/26,1,1
idan~oauthlib,45,2016/05/02-2016/05/02,1,1
idan~oauthlib,46,2016/05/18-2016/05/18,1,1
idan~oauthlib,47,2016/08/25-2016/08/25,1,1
idan~oauthlib,48,2016/11/24-2016/11/24,1,1
idan~oauthlib,49,2016/12/06-2016/12/07,2,1
idan~oauthlib,50,2016/12/20-2016/12/20,1,1
idan~oauthlib,51,2017/01/09-2017/01/09,1,1
idan~oauthlib,52,2017/03/29-2017/03/31,3,1
idan~oauthlib,53,2017/07/30-2017/07/30,1,1
idan~oauthlib,54,2017/09/18-2017/09/19,2,1
idan~oauthlib,55,2017/09/24-2017/09/24,1,1
idan~oauthlib,56,2017/09/28-2017/09/28,1,1
idan~oauthlib,57,2017/10/19-2017/10/19,1,1
idan~oauthlib,58,2017/10/27-2017/10/27,1,1
nilearn~nilearn,0,2012/04/16-2012/04/20,5,2
nilearn~nilearn,1,2012/04/24-2012/04/24,1,1
nilearn~nilearn,2,2012/06/07-2012/06/07,1,1
nilearn~nilearn,3,2012/06/22-2012/06/29,8,3
nilearn~nilearn,4,2012/09/18-2012/09/19,2,1
nilearn~nilearn,5,2012/11/20-2012/11/20,1,1
nilearn~nilearn,6,2012/11/29-2012/12/03,5,2
nilearn~nilearn,7,2013/04/05-2013/04/09,5,2
nilearn~nilearn,8,2013/04/17-2013/04/18,2,1
nilearn~nilearn,9,2013/04/22-2013/05/03,12,3
nilearn~nilearn,10,2013/05/07-2013/05/07,1,1
nilearn~nilearn,11,2013/05/13-2013/05/17,5,1
nilearn~nilearn,12,2013/05/21-2013/05/22,2,1
nilearn~nilearn,13,2013/05/27-2013/05/31,5,2
nilearn~nilearn,14,2013/06/10-2013/06/20,11,3
nilearn~nilearn,15,2013/07/16-2013/07/18,3,2
nilearn~nilearn,16,2013/08/01-2013/08/02,2,1
nilearn~nilearn,17,2013/08/19-2013/08/19,1,1
nilearn~nilearn,18,2013/08/29-2013/09/05,8,3
nilearn~nilearn,19,2013/09/10-2013/09/19,10,2
nilearn~nilearn,20,2013/10/11-2013/10/14,4,1
nilearn~nilearn,21,2013/10/25-2013/10/25,1,1
nilearn~nilearn,22,2013/11/01-2013/11/06,6,2
nilearn~nilearn,23,2013/11/13-2013/11/13,1,1
nilearn~nilearn,24,2013/11/19-2013/11/22,4,1
nilearn~nilearn,25,2013/11/27-2013/11/27,1,1
nilearn~nilearn,26,2013/12/03-2013/12/13,11,3
nilearn~nilearn,27,2014/01/29-2014/02/04,7,1
nilearn~nilearn,28,2014/02/11-2014/02/21,11,2
nilearn~nilearn,29,2014/03/03-2014/03/06,4,1
nilearn~nilearn,30,2014/03/11-2014/03/11,1,1
nilearn~nilearn,31,2014/03/19-2014/03/20,2,1
nilearn~nilearn,32,2014/03/25-2014/04/04,11,3
nilearn~nilearn,33,2014/04/09-2014/04/17,9,2
nilearn~nilearn,34,2014/04/21-2014/04/24,4,1
nilearn~nilearn,35,2014/04/28-2014/04/28,1,1
nilearn~nilearn,36,2014/05/16-2014/05/21,6,2
nilearn~nilearn,37,2014/05/27-2014/05/29,3,1
nilearn~nilearn,38,2014/06/16-2014/06/19,4,1
nilearn~nilearn,39,2014/06/27-2014/07/03,7,2
nilearn~nilearn,40,2014/07/21-2014/07/22,2,1
nilearn~nilearn,41,2014/08/01-2014/08/01,1,1
nilearn~nilearn,42,2014/08/07-2014/08/07,1,1
nilearn~nilearn,43,2014/08/24-2014/08/27,4,2
nilearn~nilearn,44,2014/09/02-2014/09/03,2,1
nilearn~nilearn,45,2014/09/10-2014/09/17,8,3
nilearn~nilearn,46,2014/09/22-2014/10/02,11,2
nilearn~nilearn,47,2014/10/06-2014/11/05,31,5
nilearn~nilearn,48,2014/11/11-2014/11/14,4,2
nilearn~nilearn,49,2014/11/19-2014/12/19,31,8
nilearn~nilearn,50,2014/12/23-2014/12/23,1,1
nilearn~nilearn,51,2015/01/06-2015/01/22,17,2
nilearn~nilearn,52,2015/01/26-2015/03/30,64,9
nilearn~nilearn,53,2015/04/08-2015/04/24,17,2
nilearn~nilearn,54,2015/04/28-2015/05/14,17,5
nilearn~nilearn,55,2015/05/18-2015/05/26,9,3
nilearn~nilearn,56,2015/06/01-2015/06/04,4,1
nilearn~nilearn,57,2015/06/08-2015/06/18,11,2
nilearn~nilearn,58,2015/06/22-2015/07/31,40,10
nilearn~nilearn,59,2015/08/04-2015/08/06,3,1
nilearn~nilearn,60,2015/08/11-2015/08/11,1,1
nilearn~nilearn,61,2015/08/17-2015/08/27,11,3
nilearn~nilearn,62,2015/09/03-2015/09/04,2,1
nilearn~nilearn,63,2015/09/08-2015/09/11,4,1
nilearn~nilearn,64,2015/09/17-2015/09/17,1,1
nilearn~nilearn,65,2015/09/21-2015/09/22,2,1
nilearn~nilearn,66,2015/09/29-2015/09/29,1,1
nilearn~nilearn,67,2015/10/05-2015/10/07,3,1
nilearn~nilearn,68,2015/10/13-2015/10/23,11,4
nilearn~nilearn,69,2015/10/27-2015/12/20,55,11
nilearn~nilearn,70,2016/01/04-2016/01/21,18,3
nilearn~nilearn,71,2016/01/26-2016/01/28,3,1
nilearn~nilearn,72,2016/02/01-2016/03/03,32,8
nilearn~nilearn,73,2016/03/09-2016/03/10,2,1
nilearn~nilearn,74,2016/03/16-2016/03/23,8,1
nilearn~nilearn,75,2016/03/29-2016/03/31,3,1
nilearn~nilearn,76,2016/04/07-2016/04/07,1,1
nilearn~nilearn,77,2016/04/12-2016/04/19,8,1
nilearn~nilearn,78,2016/04/25-2016/04/27,3,1
nilearn~nilearn,79,2016/05/09-2016/05/09,1,1
nilearn~nilearn,80,2016/05/19-2016/05/27,9,2
nilearn~nilearn,81,2016/06/07-2016/06/16,10,2
nilearn~nilearn,82,2016/06/20-2016/06/24,5,2
nilearn~nilearn,83,2016/06/28-2016/07/21,24,5
nilearn~nilearn,84,2016/07/27-2016/07/28,2,1
nilearn~nilearn,85,2016/08/02-2016/08/19,18,3
nilearn~nilearn,86,2016/08/25-2016/08/26,2,1
nilearn~nilearn,87,2016/08/30-2016/09/01,3,1
nilearn~nilearn,88,2016/09/06-2016/09/08,3,1
nilearn~nilearn,89,2016/09/12-2016/10/07,26,8
nilearn~nilearn,90,2016/10/17-2016/10/20,4,1
nilearn~nilearn,91,2016/10/24-2016/10/26,3,2
nilearn~nilearn,92,2016/10/31-2016/11/04,5,2
nilearn~nilearn,93,2016/11/14-2016/11/14,1,1
nilearn~nilearn,94,2016/11/21-2016/11/24,4,1
nilearn~nilearn,95,2016/12/04-2016/12/11,8,2
nilearn~nilearn,96,2016/12/17-2016/12/22,6,2
nilearn~nilearn,97,2017/01/05-2017/01/05,1,1
nilearn~nilearn,98,2017/01/09-2017/01/13,5,1
nilearn~nilearn,99,2017/01/19-2017/01/27,9,2
nilearn~nilearn,100,2017/02/02-2017/02/03,2,1
nilearn~nilearn,101,2017/02/08-2017/02/08,1,1
nilearn~nilearn,102,2017/02/14-2017/03/07,22,7
nilearn~nilearn,103,2017/03/13-2017/03/16,4,1
nilearn~nilearn,104,2017/03/21-2017/03/24,4,1
nilearn~nilearn,105,2017/03/28-2017/03/28,1,1
nilearn~nilearn,106,2017/04/03-2017/04/11,9,2
nilearn~nilearn,107,2017/04/24-2017/04/25,2,1
nilearn~nilearn,108,2017/05/06-2017/05/06,1,1
nilearn~nilearn,109,2017/05/23-2017/05/23,1,1
nilearn~nilearn,110,2017/05/29-2017/05/30,2,1
nilearn~nilearn,111,2017/06/12-2017/06/15,4,2
nilearn~nilearn,112,2017/06/19-2017/06/26,8,2
nilearn~nilearn,113,2017/07/11-2017/07/11,1,1
nilearn~nilearn,114,2017/07/26-2017/07/30,5,1
nilearn~nilearn,115,2017/08/18-2017/08/24,7,2
nilearn~nilearn,116,2017/09/04-2017/09/04,1,1
nilearn~nilearn,117,2017/09/19-2017/09/19,1,1
nilearn~nilearn,118,2017/09/28-2017/09/30,3,2
nilearn~nilearn,119,2017/10/13-2017/10/13,1,1
nilearn~nilearn,120,2017/10/18-2017/10/18,1,1
nilearn~nilearn,121,2017/10/30-2017/11/06,8,3
nilearn~nilearn,122,2017/11/10-2017/11/23,14,3
nilearn~nilearn,123,2017/11/30-2017/12/01,2,1
